ISBN	TITULO	AUTORES	DESCRIPCION	GENEROS	IMAGEN	ANIO	PUBLISHER
844062719X	Maestro Cantor	Orson Scott Card	NODESCRIPTION	NOGENRE	NOIMAGE	1993	Ediciones B
8420441732	Ventajas de viajar en tren	Antonio Orejudo	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/4543420-M.jpg	2000	Alfaguara
844507119X	Fahrenheit 451 - T.D. -	Ray Bradbury	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3327779-M.jpg	1997	Minotauro
8466300708	Mañana en la batalla piensa en mí	Julian Marias	NODESCRIPTION	Novela de suspense|Adultery|Ficción|Adulterio|Fiction	NOIMAGE	2001	Suma de Letras
037383232X	Sweet Promise	Janet Dailey	NODESCRIPTION	Fiction|Fiction in English|OverDrive|Romance|Accessible book|In library|Protected DAISY	https://covers.openlibrary.org/b/id/5075240-M.jpg	1991	Harlequin
1551666200	Sarah's Child	Linda Howard	NODESCRIPTION	OverDrive|Contemporary Romance|Fiction|Romance	https://covers.openlibrary.org/b/id/771411-M.jpg	2000	Mira
059035342X	Harry Potter and The Sorcerer's Stone	J. K. Rowling	NODESCRIPTION	Juvenile fiction|Juvenile works|Juvenile literature|Juvenile audience|Children's stories|Fiction|Schools|Magic|Schools in fiction|Magic in fiction|Fantasy|Translations from English|Books and reading|Alchemy|Blind|England|Braille books|Chinese fiction|Accessible book|Protected DAISY|New York Times bestseller|Large type books|In library|Popular Print Disabled Books	https://covers.openlibrary.org/b/id/7285879-M.jpg	1999	Arthur A. Levine Books
037325928X	Walk On The Wild Side	Donna Kauffman	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/217258-M.jpg	2001	Harlequin
044652767X	Seduction by design	Sandra Brown	NODESCRIPTION	Fiction|Widowers|Amusement park owners|Amusement parks|Large type books|OverDrive|Accessible book|Protected DAISY|Love stories|Sisters	https://covers.openlibrary.org/b/id/286165-M.jpg	2001	Warner Books
1551664690	The di Medici Bride	Heather Graham Pozzessere	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1867234-M.jpg	1999	Mira
037330174X	Wellspring (Western Lovers, 26)	Curtiss Ann Matlock	NODESCRIPTION	NOGENRE	NOIMAGE	1998	Harlequin
1551669404	Just Over The Mountain	Robyn Carr	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/771683-M.jpg	2002	Mira
055320923X	Silent Sea	Harry Homewood	NODESCRIPTION	Fiction|World War, 1939-1945	NOIMAGE	1984	Bantam Books
8880892207	Anima mundi	Susanna Tamaro	NODESCRIPTION	Protected DAISY	NOIMAGE	1997	Baldini &amp; Castoldi
8806163698	Il Giovane Holden	J. D. Salinger	NODESCRIPTION	NOGENRE	NOIMAGE	2003	Distribooks Inc
8807810360	Una donna	Sibilla Aleramo	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/5450782-M.jpg	0	Feltrinelli
8466302263	El Ultimo Judio	Noah Gordon	NODESCRIPTION	NOGENRE	NOIMAGE	2003	Punto de Lectura
2277238929	De Bons Presages	Terry Pratchett	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/981354-M.jpg	1997	Editions 84
2743606789	Du bon usage de la lenteur	Pierre Sansot	NODESCRIPTION	Temps|Tranquilité d'esprit|Sagesse|Philosophie|Vie	NOIMAGE	2000	Rivages
2253001279	Le  journal d'Anne Frank	Anne Frank	NODESCRIPTION	Holocaust, Jewish (1939-1945)|Juvenile literature|Personal narratives	NOIMAGE	2003	Livre De Poche French
2253047422	Le pigeon	Patrick Süskind	NODESCRIPTION	NOGENRE	NOIMAGE	0	Livre De Poche French
8806160427	L'Ultimo Natale Di Guerra	Primo Levi	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/5283997-M.jpg	2003	Distribooks Inc
9500703203	El Amor En Los Tiempos Del Colera / Love in the Times of Cholera	Gabriel Garcia Marquez	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3344928-M.jpg	1987	Sudamericana
843760494X	Cien años de soledad	Gabriel Garcia Marquez	NODESCRIPTION	Fiction|Macondo (Imaginary place)|Social conditions|Novela|Condiciones sociales|Translations into Russian|Spanish language materials|Criticism and interpretation|Colombian fiction|Macondo (Lugar imaginario)|Protected DAISY	NOIMAGE	1994	Ediciones Catedra S.A.
038082101X	Daughter of Fortune	Isabel Allende	"Everyone is born with some special talent, and Eliza Sommers discoverd early on that she had two: a good sense of smell and a good memory."	Fiction|California in fiction|Social life and customs|Gold mines and mining|History|Gold mines and mining in fiction|Accessible book|Protected DAISY|Popular Print Disabled Books	https://covers.openlibrary.org/b/id/237501-M.jpg	2001	HarperTorch
3453099613	Schatten über den Weiden.	Nora Roberts	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3201927-M.jpg	1996	Heyne
1558747028	Chicken soup for the college soul	Jack Canfield	NODESCRIPTION	Accessible book|Protected DAISY|College students|Conduct of life|In library	https://covers.openlibrary.org/b/id/6471891-M.jpg	1999	Health Communications
1579213405	Emotional purity	Heather Arnel Paulsen	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/836784-M.jpg	2001	Winepress Publishing
9679787834	Vermillion eye	Halim Tunku	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1053855-M.jpg	2000	Pelanduk Publications
3404920910	Im Wald der gehenkten Füchse.	Arto Paasilinna	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1000888-M.jpg	2001	L�?¼bbe
2070419878	Novecento 	Alessandro Baricco	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/968905-M.jpg	2002	Gallimard
1929194196	The art of war	Sunzi	NODESCRIPTION	Early works to 1800|Military art and science|War|Success in business|Industrial management|Marketing|Ciencia militar|Strategy|Leadership|Sales promotion|Obras anteriores a 1800|Management|Éxito en los negocios|Aptitudes de mando|Sales management|Executive ability|Tangut language|Art et science militaire|History|Parent and teenager|Criticism and interpretation|Competition|Parenting|Administración|OverDrive|Nonfiction|Philosophy|Protected DAISY|In library	NOIMAGE	2003	Clearbridge Publishing
009945520X	How to Make Square Eggs	Paul Temple	NODESCRIPTION	NOGENRE	NOIMAGE	1986	Random House Children's Books (A Division of Random House Group)
3502517959	Die Spinne und das Mädchen.	Sophie Schallingher	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3218296-M.jpg	2001	Scherz
3442424623	Die Bildhauerin.	Minette Walters	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1006525-M.jpg	1996	Goldmann
3310005844	20 Jahre 40 bleiben. Jung und schön in den besten Jahren.	Josephine Fairley	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3178306-M.jpg	1999	Midena
059525893X	Goddess Blood	Robert T. Burns	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/2528563-M.jpg	2002	Writer's Showcase Press
081257060X	The Return	Buzz Aldrin	So how are you planning to top this mission?	NOGENRE	https://covers.openlibrary.org/b/id/604164-M.jpg	2001	Tor Books
080410882X	Dinner at the Homesick Restaurant	Anne Tyler	NODESCRIPTION	Fiction|Death|Runaway husbands in fiction|Runaway husbands|Mothers|Mothers in fiction|Mothers and sons in fiction|Mothers and daughters in fiction|Mothers and sons|Parent and adult child in fiction|Parent and adult child|Mothers and daughters|Family in fiction|Families|Families in fiction|Family|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/4690834-M.jpg	1992	Ivy Books
1577487370	A Quilt of Life	Mary Tatem	Quilts wrap our hearts in warm emotions.|Quilts wrap our hearts in warm emotions.	NOGENRE	https://covers.openlibrary.org/b/id/833085-M.jpg	2000	Barbour Publishing
1578562325	All together in one place	Jane Kirkpatrick	NODESCRIPTION	Women pioneers|Fiction|OverDrive|Historical Fiction	https://covers.openlibrary.org/b/id/834979-M.jpg	2000	Waterbrook Press
156836010X	Having our say	Sarah Louise Delany	NODESCRIPTION	Race relations|Biography|African Americans|Afro-Americans|Large type books	https://covers.openlibrary.org/b/id/811180-M.jpg	1993	Kodansha America
006251119X	Stop being mean to yourself	Melody Beattie	NODESCRIPTION	Self-acceptance|Travel|Self-esteem|Autoestima|Aprobación de sí mismo|Viaje|Accessible book|Protected DAISY|OverDrive|Family & Relationships|Nonfiction|Self Concept	https://covers.openlibrary.org/b/id/3858252-M.jpg	1997	HarperSanFrancisco
076790396X	The Pilates body	Brooke Siler	NODESCRIPTION	Physical fitness|Mind and body|Exercise|Physical Fitness|Protected DAISY	https://covers.openlibrary.org/b/id/6802623-M.jpg	2000	Broadway Books
1572241381	The self-esteem companion : simple exercises to help you challenge your inner critic and celebrate your personal strengths / Matthew McKay ... [et al.]	Matthew McKay	NODESCRIPTION	Problems, exercises|Self-esteem|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6985003-M.jpg	1999	New Harbinger Publications
1592400876	Eats, Shoots & Leaves	Lynne Truss	Either this will ring bells for you, or it won't.|Either this will ring bells for you, or it won't.	Punctuation|English language|Juvenile literature|Large type books|Comma|Engels|Interpunctie|Zeichensetzung|Accessible book|Protected DAISY	https://covers.openlibrary.org/b/id/867911-M.jpg	2004	Gotham Books
038531809X	Why not me?	Al Franken	The Pulitzer Prize-winning journalist David Broder once wrote something to the effect that "anyone who's willing to do what it takes to be president should be immediately disqualified."	Fiction|Election|Presidential candidates|Presidents|Politics and government|Political campaigns|Protected DAISY	https://covers.openlibrary.org/b/id/239187-M.jpg	1999	Bantam Dell Pub Group
068815252X	Book	Whoopi Goldberg	NODESCRIPTION	Biography|American wit and humor|Comedians|Motion picture actors and actresses|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6613391-M.jpg	1997	William Morrow &amp; Company
078686351X	Dirty jokes and beer	Drew Carey	There's a guy who lives in Ohio.	Biography|Comedians|Television actors and actresses|Protected DAISY|Accessible book|In library	https://covers.openlibrary.org/b/id/545531-M.jpg	1997	Hyperion Books
020530902X	The Elements of Style	William Strunk Jr.	NODESCRIPTION	English language|Rhetoric|Report writing|Style|Writing|Authorship|Retorica|Accessible book|Protected DAISY|Engels|Taalkunde|Stijlen|Art d'écrire|Taalwetenschap|Guides, manuels|Estrutura De Trabalhos Cientificos	https://covers.openlibrary.org/b/id/137548-M.jpg	2000	Pearson Higher Education
073520313X	The how to say it	Rosalie Maggio	NODESCRIPTION	English language|Rhetoric|Letter writing|Handbooks, manuals|Usage|Style|OverDrive|Nonfiction|Reference|Language|Writing|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/460706-M.jpg	2002	Prentice Hall Art
1565115228	A Prairie home companion pretty good joke book.	Garrison Keillor	NODESCRIPTION	American wit and humor|Protected DAISY|Accessible book	https://covers.openlibrary.org/b/id/802966-M.jpg	2001	Highbridge Audio
061819729X	The playful way to serious writing	Allen, Roberta	NODESCRIPTION	Creative writing|English language|Problems, exercises|Rhetoric	https://covers.openlibrary.org/b/id/393749-M.jpg	2002	Mariner Books
1565122798	Educating Esmé	Esmé Raji Codell	NODESCRIPTION	Diaries|First year teachers|Elementary school teachers	NOIMAGE	2001	Algonquin Books of Chapel Hill
1581820542	The little book of big ideas	Harold R. McAlindon	NODESCRIPTION	Conduct of life|Creative ability|Creative thinking|Quotations, maxims	https://covers.openlibrary.org/b/id/1942747-M.jpg	1999	Cumberland House Publishing
1564146731	The Know-It-All's Guide to Life	John T. Walbaum	"Hey, if a codger like former Senator John Glenn can go up, why not you?"	Life skills|Handbooks, manuals|Self-help techniques	https://covers.openlibrary.org/b/id/799790-M.jpg	2003	Career Press
1585420611	Women Can't Hear What Men Don't Say	Warren Farrell Ph.D.	The most important thing to understand about men is their desire to be understood.	NOGENRE	https://covers.openlibrary.org/b/id/850050-M.jpg	2000	Jeremy P. Tarcher
1841492086	The Portable Door	Tom Holt	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/886202-M.jpg	2004	Orbit Book Co.
1860467776	A Jerk on One End	Robert Hughes	NODESCRIPTION	Fishing|Protected DAISY	https://covers.openlibrary.org/b/id/915006-M.jpg	2000	Harvill Press
1563521024	You're not a kid anymore when--	Jeff Foxworthy	NODESCRIPTION	Older people|Humor|Caricatures and cartoons|Protected DAISY|In library	https://covers.openlibrary.org/b/id/3948955-M.jpg	1993	Longstreet Press
880781210X	iI Paradiso Degli Orchi	Daniel Pennac	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/4925669-M.jpg	1994	Universale Economica Feltrinelli
1570422826	The Celestine Prophecy	Carol Adrienne	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1914232-M.jpg	1995	Time Warner Audio Major
2070368076	Huis clos ; suivi de, Les Mouches	Jean-Paul Sartre	NODESCRIPTION	Drama|Orestes	NOIMAGE	1964	Distribooks
8585622032	Bola da vez	Muniz Sodré	NODESCRIPTION	NOGENRE	NOIMAGE	1993	Notrya Editora
8570070063	A corrente de Trewis Scott	Roberto Schneider	NODESCRIPTION	NOGENRE	NOIMAGE	1985	Nórdica
8532501192	As valkírias	Paulo Coelho	NODESCRIPTION	Miscellanea|Occultism|Angels	NOIMAGE	1992	Rocco
8485229606	La crónica del Perú	Cieza de León, Pedro de	NODESCRIPTION	Accessible book|Description and travel|Early accounts to 1600|Early works to 1800|History|Incas|Indians of South America|Social life and customs	NOIMAGE	1984	Historia 16
051748904X	A Treasury of Irish myth, legend, and folklore	Claire Booss	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/322123-M.jpg	1986	Gramercy Books
087226002X	Celtic mythology	Proinsias Mac Cana	NODESCRIPTION	Celtic Gods|Celtic Mythology|Celts|Gods, Celtic|Mythology, Celtic	NOIMAGE	1985	Peter Bedrick Books
1855853906	Ancient Celtic Romances	P. W. Joyce	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/906519-M.jpg	0	Parkgate Books
1850630127	The Western way	Caitlin Matthews	NODESCRIPTION	Religious Mysteries|Occultism	NOIMAGE	1985	Routledge &amp; K. Paul
1555910408	Teacher's guide to Keepers of the earth	Michael J. Caduto	NODESCRIPTION	Folklore|Indian mythology|Indians of North America|Social life and customs|Creative activities and seat work|Juvenile literature|Religion and mythology|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6662564-M.jpg	1988	Fulcrum Publishing
071411393X	The Celts Activity Book (British Museum Activity Books)	British Museum	NODESCRIPTION	NOGENRE	NOIMAGE	2000	Parkwest Publications
1552976246	Silent witness	Roxana Ferllini Timms|Roxanna Ferllini	NODESCRIPTION	Forensic anthropology|Enquêtes criminelles|Anthropologie légale|Forensic sciences|Criminalistique|Criminal investigation|Protected DAISY	https://covers.openlibrary.org/b/id/6758695-M.jpg	2002	Firefly Books Ltd
1855681870	Haunted Yorkshire	W.R. Mitchell	NODESCRIPTION	NOGENRE	NOIMAGE	2000	Dalesman Publishing Company Ltd
1565842103	A Queer Reader	Patrick Higgins	NODESCRIPTION	Homosexuality|Literary collections|In library|Protected DAISY	https://covers.openlibrary.org/b/id/5353157-M.jpg	1994	New Press
1895857058	On the Safe Edge	Trevor Jacques	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/944385-M.jpg	1993	Alternate Sources
1560238763	Reviving the tribe	Eric E. Rofes	Imagine a world without homosexual men.	Gay men|Mental health|Sexual behavior|AIDS (Disease)|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6647765-M.jpg	1995	Haworth Press
076071150X	Writing for dollars	John McCollister	NODESCRIPTION	Accessible book|Protected DAISY|Authorship|Handbooks, manuals|Marketing|In library	https://covers.openlibrary.org/b/id/4705666-M.jpg	0	Barnes Noble Books
1561707236	Soul's perfection	Sylvia Browne	NODESCRIPTION	Miscellanea|Society of Novus Spiritus (Campbell, Calif.)|Life|Spiritual life|Spirit writings|Protected DAISY	https://covers.openlibrary.org/b/id/794135-M.jpg	2000	Hay House
1561707244	The nature of good and evil	Sylvia Browne	NODESCRIPTION	Miscellanea|Spiritual life|Society of Novus Spiritus (Campbell, Calif.)|Gnosticism|Spirit writings|Good and evil|Protected DAISY	https://covers.openlibrary.org/b/id/6819028-M.jpg	2001	Hay House
1561706213	Adventures of a psychic	Sylvia Browne	NODESCRIPTION	Psychics|Biography|Protected DAISY	https://covers.openlibrary.org/b/id/794104-M.jpg	1998	Hay House
1880032627	Creative visualization	Shakti Gawain	NODESCRIPTION	Accessible book|Actualización de sí mismo (Psicología)|Affirmations|Afirmaciones|Creative thinking|Meditaciones|Meditations|Protected DAISY|Self-actualization (Psychology)|Success|Visualización|Visualizacíon|Visualization|Éxito|Succès|Visualisation|In library	https://covers.openlibrary.org/b/id/926272-M.jpg	1995	New World Library
044020562X	One	Richard Bach	NODESCRIPTION	Human behavior|Fiction|Self-perception|Space and time|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6644308-M.jpg	1989	Dell
1577310454	Maps to ecstasy	Gabrielle Roth	NODESCRIPTION	Shamanism|Mental healing|Shamans|Miscellanea|Self-actualization (Psychology)|Protected DAISY|Accessible book|In library	https://covers.openlibrary.org/b/id/832420-M.jpg	1998	New World Library
1882591275	Write from the heart	Hal Zina Bennett	NODESCRIPTION	Authorship|Creative ability|Protected DAISY|In library	https://covers.openlibrary.org/b/id/928639-M.jpg	1995	Pub Group West
067084487X	The Stinky Cheese Man and other fairly stupid tales	Jon Scieszka	NODESCRIPTION	Fairy tales|Children's stories, American|Short stories|Protected DAISY	https://covers.openlibrary.org/b/id/401337-M.jpg	1993	Viking Books
1577311868	Developing Intuition	Shakti Gawain	There is a universal, intelligent life force that exists within everyone and everything.	NOGENRE	https://covers.openlibrary.org/b/id/832512-M.jpg	2001	New World Library
156305700X	Really important stuff my kids have taught me	Cynthia Copeland Lewis	NODESCRIPTION	Quotations|Children|Protected DAISY|Accessible book	https://covers.openlibrary.org/b/id/796393-M.jpg	1994	Workman Publishing
094547069X	New Developments in Latvian Gambit	Kon Grivainis	NODESCRIPTION	NOGENRE	NOIMAGE	1998	Chess Enterprises
1573229326	How to be good	Nick Hornby|Nick Hornby	NODESCRIPTION	Accessible book|Conduct of life|Domestic fiction|Fiction|Humorous stories|Literature|Married women|OverDrive|Protected DAISY|Women physicians	https://covers.openlibrary.org/b/id/6516356-M.jpg	2002	Riverhead Books
038072930X	Turbulent souls	Stephen J. Dubner	"MY mother tells me that, even as a little girl in Brooklyn, she had a stubborn streak."	Biography|Christian converts from Judaism|Jewish converts from Christianity|Jews|Protected DAISY|Accessible book	NOIMAGE	1999	Perennial
068483376X	Succulent wild woman	Sark	NODESCRIPTION	Self-actualization (Psychology)|Psychology|Women|Accessible book|Protected DAISY	https://covers.openlibrary.org/b/id/426413-M.jpg	1997	Fireside
068484270X	Healing the soul of America	Marianne Williamson	NODESCRIPTION	Religion and culture|Religion|Religion and politics|Spirituality	https://covers.openlibrary.org/b/id/427204-M.jpg	1997	Simon &amp; Schuster
8817844330	Confucio nel computer	Furio Colombo	NODESCRIPTION	Computer networks|Computers and civilization|Information superhighway|Internet|Social aspects|Social aspects of Computer networks|Social aspects of Information superhighway|Social aspects of Internet	NOIMAGE	1995	Nuova Eri Rizzoli
067170463X	Murder on the Orient Express	Agatha Christie	It was five o'clock on a winter's morning in Syria.	Accessible book|Detective and mystery stories|Fiction|Fiction in English|Hercule Poirot (Fictitious character)|Juvenile fiction|Murder|Mystery|Orient Express (Express train)|OverDrive|Private investigators|Private investigators in fiction|Protected DAISY|Railroad|Railroad stories|Trains|In library	NOIMAGE	1978	Pocket Books
3455059554	Der Fisch lernt fliegen. Unterwegs durch die Jahre.	Erika Pluhar	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3204055-M.jpg	2000	Hoffmann &amp; Campe
844140898X	Fronteras De Lo Imposible (Mundo Magico y Heterodoxo)	I. Jimenez	NODESCRIPTION	NOGENRE	NOIMAGE	2001	Edaf
8432206407	Sin noticias de Gurb	Eduardo Mendoza	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/7399290-M.jpg	1995	Planeta Pub Corp
3423105518	Der Name der Rose	Umberto Eco	ON AUGUST 16, 1968, I WAS HANDED A BOOK WRITTEN BY A CERTAIN Abbe Vallet, Le Manuscrit de Dom Adson de Melk, traduit en francais d'apres l'edition de Dom J. Mabillon (Aux Presses de l'Abbaye de la Source, Paris, 1842).	Church history|Fiction|History|Medieval Libraries|Monastic and religious life|Monastic libraries|Monasticism and religious orders|Semiotics|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6872642-M.jpg	0	Distribooks Int'l+inc
8478886818	Mi Gato Angus, El Primer Morreo Y El Pasta	Louise Rennison	NODESCRIPTION	NOGENRE	NOIMAGE	2002	Distribooks
8477021473	Pozo y El Pendulo y Otras Historias Espeluzna	Edgar Allan Poe	NODESCRIPTION	NOGENRE	NOIMAGE	1998	Valdemar
8420443026	La educación de un hada	Didier van Cauwelaert	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/5257320-M.jpg	2001	Santillana USA Publishing Company
8440682441	El círculo mágico	Katherine Neville	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/7376765-M.jpg	1998	Ediciones B
843396951X	13 99 Euros	Frederic Beigbeder	NODESCRIPTION	NOGENRE	NOIMAGE	2002	Anagrama
8440616368	El ocho (La Trama Series / the Plot Series)	Katherine Neville	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1047563-M.jpg	1991	Grupo Zeta
8474448174	Mitologia - Guia Ilustrada de Mitos del Mundo	Roy Willis	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3329401-M.jpg	1997	Debate
8420483885	El club Dumas (edición en español)	Arturo Pérez-Reverte	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3325002-M.jpg	1999	"Alfaguara Ediciones, S.A. (Spain)"
8434845091	Falso movimiento	Alejandro Gándara	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/4909510-M.jpg	1998	Ediciones SM
8484509125	El ultimo adios / Before I Say Good-bye	Mary Higgins Clark	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/5274649-M.jpg	2002	Distribooks
8484500020	LA Tabla De Flandes	Arturo Pérez-Reverte	NODESCRIPTION	NOGENRE	NOIMAGE	2003	Distribooks
068486780X	Between Silk and Cyanide	Leo Marks	In January 1942 I was escorted to the war by my parents in case I couldn't find it or met with an accident on the way.	Biography|British Personal narratives|Cryptographers|Cryptography|Great Britain|Personal narratives, British|Secret service|World War, 1939-1945	https://covers.openlibrary.org/b/id/428591-M.jpg	2000	Free Press
081297106X	Reading Lolita in Tehran	Azar Nafisi	NODESCRIPTION	Study and teaching|Books and reading|English literature|American literature|Group reading|English teachers|Biography|Women|Ithaca College First-Year Reading Initiative|Libros y lectura|Enseñanza|Lectura en grupos|Literatura estadounidense|Profesores de inglés|Biografía|Mujeres|Literatura inglesa|Social conditions|OverDrive|Biography & Autobiography|Nonfiction|Sociology|Women's Studies|Étude et enseignement|Professeurs d'anglais|Biographies|Femmes|Livres et lecture|Littérature américaine|Lecture de groupe|Littérature anglaise	https://covers.openlibrary.org/b/id/7341151-M.jpg	2003	Random House Trade Paperbacks
055356160X	Cry Wolf	Tami Hoag	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/7333041-M.jpg	1993	Bantam
1558504184	Bradymania!	Elizabeth Moran	NODESCRIPTION	Brady bunch (Television program)	https://covers.openlibrary.org/b/id/783213-M.jpg	1995	Adams Media Corporation
059046678X	The Yearbook	Peter Lerangis	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/384310-M.jpg	1994	Scholastic
068808527X	Close friends	Jenkins, Peter	NODESCRIPTION	Anecdotes|Pet owners|Pets|Domestic animals|Large type books|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6984605-M.jpg	1989	Harpercollins
042516540X	The cat who-- companion	Sharon A. Feaster	NODESCRIPTION	American Detective and mystery stories|Cats in literature|Handbooks, manuals|Jim Qwilleran (Fictitious character)|Koko (Fictitious character)|Moose County (Imaginary place)|Yum Yum (Fictitious character : Braun)	https://covers.openlibrary.org/b/id/271214-M.jpg	1998	Berkley Publishing Group
051512463X	The cat who sang for the birds.	Lilian Jackson Braun	NODESCRIPTION	Fiction|Moose County (Imaginary place)|Country life|Cats|Koko (Fictitious character)|Jim Qwilleran (Fictitious character)|Women farmers|Millionaires|Cat owners|Siamese cat|Yum Yum (Fictitious character : Braun)|Accessible book|Protected DAISY|Journalists|In library|Popular Print Disabled Books	https://covers.openlibrary.org/b/id/7004251-M.jpg	1999	Jove Books
067166865X	STAR TREK YESTERDAY'S SON	A. C. Crispin	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/407185-M.jpg	1988	Audioworks
1551668424	The fifth daughter	Elaine Coffman	NODESCRIPTION	British|Fiction|Social life and customs|Accessible book|Protected DAISY|Large type books	https://covers.openlibrary.org/b/id/6499202-M.jpg	2001	Mira
1551669463	The Italian	Elaine Coffman	NODESCRIPTION	Historical Romance|Romance|Italy|Carbonari|Artist	https://covers.openlibrary.org/b/id/771688-M.jpg	2002	Mira
1551668521	A Reckless Encounter	Rosemary Rogers	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/771604-M.jpg	2001	Mira
084395051X	Savage destiny	Cassie Edwards	NODESCRIPTION	Fiction|Chitimacha Indians|Brothers|Indians of North America|Large type books|Mail order brides|Plantation life	https://covers.openlibrary.org/b/id/641032-M.jpg	2003	Leisure Books
1551665964	Bride Of Black Douglas (Mira)	Elaine Coffman	NODESCRIPTION	Man-woman relationships|Fiction|Accessible book|Protected DAISY|Historical Romance|Romance|Ghost|Marriage of Convenience	https://covers.openlibrary.org/b/id/6615192-M.jpg	2000	Mira
1551666766	Naughty Marietta	Nan Ryan	NODESCRIPTION	Fiction|Women singers|Kidnapping victims|Large type books|Accessible book|Protected DAISY	https://covers.openlibrary.org/b/id/6543403-M.jpg	2003	Mira Books
1551666855	The love knot	Rebecca Brandewyne	NODESCRIPTION	Fiction|Widowers|Brigands and robbers|Governesses|Manors|Social life and customs|History|Accessible book|Protected DAISY	https://covers.openlibrary.org/b/id/6600695-M.jpg	2003	Mira
1551668920	A Season Of Miracles	Heather Graham	NODESCRIPTION	OverDrive|Fiction|Romance|Suspense|Suspense & Adventure|Reincarnation|Christmas stories|Accessible book|Protected DAISY	https://covers.openlibrary.org/b/id/6631925-M.jpg	2002	Mira
038081479X	Heart of a warrior	Johanna Lindsey	"BRITTANY CALLAGHAN STARED IN THE MIRROR ABOVE her dresser, satisfied with the results."	Fiction|Fantasy fiction|Love stories|Women construction workers|Accessible book|Protected DAISY	https://covers.openlibrary.org/b/id/6605482-M.jpg	2002	Avon
1556590415	The book of questions	Pablo Neruda	NODESCRIPTION	Children's poetry, Chilean	https://covers.openlibrary.org/b/id/3977809-M.jpg	1991	Consortium Book Sales &amp; Dist
1885171013	Soulwork	BettyClare Moffatt	NODESCRIPTION	Spiritual life|Protected DAISY	https://covers.openlibrary.org/b/id/931990-M.jpg	1994	Wildcat Canyon Press
1583940677	Nothing in this book is true, but it's exactly how things are	Bob Frissell	NODESCRIPTION	Unidentified flying objects|Extraterrestrial anthropology|Occultism|Geology	https://covers.openlibrary.org/b/id/847720-M.jpg	2003	Frog Ltd.
039304856X	Iris and her friends	John Bayley	NODESCRIPTION	Alzheimer's disease|Biography|College teachers|Critics|English Novelists|Marriage|Married people|Patients|Philosophers|University of Oxford|Accessible book|Protected DAISY	https://covers.openlibrary.org/b/id/247498-M.jpg	1999	W.W. Norton &amp; Company
